id,name,bred_for,breed_group,weight,height,life_span,temperament,origin,image
238,Staffordshire Bull Terrier,,Terrier,11 - 17,36 - 41,12 - 14 years,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous",Unknown,https://cdn2.thedogapi.com/images/H1zSie9V7.jpg
239,Standard Schnauzer,"Ratting, guarding",Working,14 - 23,44 - 50,13 - 15 years,"Trainable, Good-natured, Devoted, Lively, Playful, Intelligent",Unknown,https://cdn2.thedogapi.com/images/tmzeu6ID_.jpg
242,Swedish Vallhund,Unknown,Herding,9 - 14,29 - 34,12 - 14 years,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful",Unknown,https://cdn2.thedogapi.com/images/HJ-Dix94Q.jpg
243,Thai Ridgeback,Unknown,Hound,16 - 25,51 - 61,10 - 12 years,"Protective, Loyal, Independent, Intelligent, Loving, Familial",Unknown,https://cdn2.thedogapi.com/images/zv89hR-O8.jpg
244,Tibetan Mastiff,Unknown,Working,39 - 64,61 - 66,10 - 14 years,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective",Unknown,https://cdn2.thedogapi.com/images/SkM9sec47.jpg
245,Tibetan Spaniel,Unknown,Non-Sporting,4 - 7,25,12 - 15 years,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy",Unknown,https://cdn2.thedogapi.com/images/Hyjcol947.jpg
246,Tibetan Terrier,"Good luck charms, mascots, watchdogs, herding dogs, and companions",Non-Sporting,9 - 11,36 - 43,12 - 15 years,"Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive",Unknown,https://cdn2.thedogapi.com/images/6f5n_42mB.jpg
248,Toy Fox Terrier,Unknown,Toy,2 - 4,20 - 28,12 - 15 years,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent",Unknown,https://cdn2.thedogapi.com/images/B17ase9V7.jpg
250,Treeing Walker Coonhound,Unknown,Hound,20 - 36,51 - 69,10 - 13 years,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",Unknown,https://cdn2.thedogapi.com/images/SkRpsgc47.jpg
251,Vizsla,Pointing and trailing,Sporting,23 - 29,53 - 61,10 - 14 years,"Affectionate, Energetic, Loyal, Gentle, Quiet",Unknown,https://cdn2.thedogapi.com/images/r1o0jx9Em.jpg
